,x,y,player_name,team,position,foot,goals,agg_position
2573,7.2209783,2.4006505,Gerard Deulofeu Lázaro,Barcelona,Right Wing,Right Foot,0.0833333333333333,Right Wing
2574,9.959429,2.1974988,Kevin Gameiro,Sevilla,Center Forward,Right Foot,0.1666666666666666,Striker
2575,-2.0388734,8.011501,Claudio Andrés Bravo Muñoz,Barcelona,Goalkeeper,Right Foot,0.0,Goalkeeper
2576,9.002832,8.81698,Daniel Filipe Martins Carriço,Sevilla,Left Center Back,Right Foot,0.0,Center Back
2577,3.523128,3.7018123,Diogo José Rosário Gomes Figueiras,Sevilla,Left Back,Right Foot,0.0,Left Back
2578,9.148378,2.1323047,Luis Alberto Suárez Díaz,Barcelona,Center Forward,Right Foot,0.7213114754098361,Striker
2579,-1.8609749,8.064923,António Alberto Bastos Pimparel,Sevilla,Goalkeeper,Right Foot,0.0,Goalkeeper
2580,10.249672,2.5111723,Carlos Arturo Bacca Ahumada,Villarreal,Center Forward,Right Foot,0.0833333333333333,Striker
2581,3.2171714,3.3390133,Jorge Andújar Moreno,Sevilla,Right Back,Right Foot,0.1,Right Back
2582,6.590426,1.86195,Denis Suárez Fernández,Barcelona,Left Center Midfield,Right Foot,0.0625,Center Midfield
2583,3.7936344,2.8314617,Aleix Vidal Parreu,Barcelona,Right Back,Right Foot,0.088235294117647,Right Back
2584,8.258553,6.071836,Víctor Machín Pérez,Sevilla,Left Wing,Right Foot,0.2,Left Wing
2585,8.527542,8.644282,Grzegorz Krychowiak,Poland,Right Center Midfield,Right Foot,0.1428571428571428,Center Midfield
2586,6.359405,2.0354276,Ivan Rakitić,Barcelona,Right Center Midfield,Right Foot,0.142156862745098,Center Midfield
2587,7.6396575,2.1179986,Neymar da Silva Santos Junior,Barcelona,Left Wing,Right Foot,0.4912280701754385,Left Wing
2588,6.120501,5.3064175,Iván Santiago Pérez Maceira,Deportivo La Coruna,Right Center Midfield,Left Foot,0.0,Center Midfield
2589,8.998032,4.160787,Lassad Hassen Nouioui,Deportivo La Coruna,Center Forward,Right Foot,0.0,Striker
2590,7.741207,6.385675,Juan Domínguez Lamas,Deportivo La Coruna,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
